rank,city,state,dox,ground,citizen,start_pct,start_rank
83,Machilipatnam,Andhra Pradesh,0.712923977,0.652535714,0.538791985,64.55873137,83
281,Madanapalle,Andhra Pradesh,0.298830409,0.624119048,0.416541335,41.54658466,281
57,Madurai,Tamil Nadu,0.795575049,0.712616883,0.535905347,69.69345969,57
249,Mahabubnagar,Telangana,0.294210526,0.65822619,0.497255808,44.61280266,249
379,Mainpuri,Uttar Pradesh,0.169590643,0.430571429,0.397833968,30.3308837,379
239,Malegaon,Maharashtra,0.425087719,0.555464286,0.417526894,45.54136133,239
363,Malerkotla,Punjab,0.232748538,0.398071429,0.389360132,32.1062739,363
74,Mandsaur,Madhya Pradesh,0.731169591,0.491471429,0.689985683,65.88898781,74
148,Mandya,Karnataka,0.533567251,0.554904762,0.591566532,55.63014131,148
63,Mangaluru,Karnataka,0.792612086,0.613607143,0.549720518,67.49933799,63
131,Mango,Jharkhand,0.611345029,0.573815476,0.556686186,58.55649879,131
352,Mathura,Uttar Pradesh,0.198245614,0.603214286,0.319352214,33.5819762,352
370,Maunath Bhanjan,Uttar Pradesh,0.202163743,0.411047619,0.390276249,31.08184638,370
339,Meerut,Uttar Pradesh,0.217660819,0.589671429,0.361485413,35.38108497,339
99,Mehsana,Gujarat,0.703099415,0.422585714,0.658768197,61.96716244,99
130,Mira-Bhayandar,Maharashtra,0.532729045,0.748339286,0.530049515,58.58277463,130
182,Miryalaguda,Telangana,0.413000642,0.640285714,0.57426832,51.82022134,182
389,Mirzapur-cum-Vindhyachal,Uttar Pradesh,0.161695906,0.388446429,0.408822074,29.25213872,389
360,Modinagar,Uttar Pradesh,0.179532164,0.512404762,0.377450679,32.2125868,360
369,Moga,Punjab,0.251345029,0.344535714,0.378146497,31.26831407,369
321,Moradabad,Uttar Pradesh,0.198421053,0.604,0.431259055,36.96671904,321
96,Morbi,Gujarat,0.699590643,0.62354,0.519925304,62.66783806,96
205,Morena,Madhya Pradesh,0.600877193,0.342434524,0.44167042,48.85044939,205
348,Motihari,Bihar,0.247368421,0.400678571,0.428002568,33.98862026,348
382,Mughalsarai,Uttar Pradesh,0.205847953,0.339785714,0.404506584,29.89299826,382
428,Muktsar,Punjab,0.008187135,0.365285714,0.353797633,20.11449292,428
415,Munger,Bihar,0.080994152,0.414946429,0.369250368,25.09590861,415
24,Murwara,Madhya Pradesh,0.796608187,0.808285714,0.759077317,78.82683078,24
344,Muzaffarnagar,Uttar Pradesh,0.268139156,0.471946429,0.375678448,35.13527619,344
304,Muzaffarpur,Bihar,0.37374269,0.383565476,0.422420824,39.08018267,304
5,Mysuru,Karnataka,0.92596989,0.9205,0.749559268,87.16792309,5
69,Nadiad,Gujarat,0.618596491,0.687517857,0.704971273,66.17392671,69
161,Nagaon,Assam,0.402631579,0.6375,0.674712509,54.29729633,161
185,Nagapattinam,Tamil Nadu,0.674795322,0.418,0.356772509,51.51896476,185
384,Nagaur,Rajasthan,0.159356725,0.384285714,0.430408823,29.69046017,384
114,Nagda,Madhya Pradesh,0.603099415,0.524571429,0.680525418,60.66952194,114
174,Nagercoil,Tamil Nadu,0.513874927,0.661142857,0.435476895,52.71724999,174
137,Nagpur,Maharashtra,0.595916912,0.640392857,0.502909921,57.9133801,137
330,Nainital,Uttarakhand,0.362865497,0.29577381,0.416966714,36.23229404,330
200,Nalgonda,Telangana,0.425146199,0.728321429,0.405827195,49.51443053,200
192,Nanded Waghala,Maharashtra,0.642573099,0.296571429,0.472589964,50.5077741,192
181,Nandurbar,Maharashtra,0.545087719,0.464875,0.52270333,51.83192226,181
80,Nandyal,Andhra Pradesh,0.692623905,0.739982143,0.525015104,65.41808242,80
40,Narasaraopet,Andhra Pradesh,0.769824561,0.896,0.550829114,73.56697867,40
151,Nashik,Maharashtra,0.597173489,0.582153571,0.461696458,55.27754002,151
8,Navi Mumbai,Maharashtra,0.96625731,0.75747619,0.761282952,85.25697226,8
25,Navsari,Gujarat,0.806842105,0.761357143,0.767813549,78.37622977,25
136,Neemuch,Madhya Pradesh,0.511052632,0.397142857,0.83693482,58.03398447,136
165,Nellore,Andhra Pradesh,0.532631579,0.614478175,0.477423664,53.65308535,165
7,New Delhi Municipal Council,Delhi,0.911052632,0.853767857,0.768552507,85.39814008,7
178,Nizamabad,Telangana,0.525614035,0.589660714,0.453605177,52.00230474,178
279,North Delhi Municipal Corporation,Delhi,0.445730994,0.321135714,0.453673852,41.69650314,279
36,Omkareshwar,Madhya Pradesh,0.790760234,0.809971429,0.620165119,74.43844983,36
70,Ongole,Andhra Pradesh,0.706276803,0.735178571,0.531339587,66.10210802,70
273,Orai,Uttar Pradesh,0.3,0.471952381,0.565190594,42.25452735,273
219,Osmanabad,Maharashtra,0.397368421,0.620142857,0.468476072,47.43943253,219
206,Ozhukarai,Puducherry,0.443567251,0.567809524,0.488698473,48.81671859,206
286,Palakkad,Kerala,0.132163743,0.667357143,0.602079032,40.69366797,286
95,Palanpur,Gujarat,0.659590643,0.594714286,0.604783968,62.69295513,95
186,Pali,Rajasthan,0.322397661,0.736916667,0.617371507,51.45195663,186
155,Pallavaram,Tamil Nadu,0.704912281,0.421589286,0.409293503,54.53958989,155
397,Palwal,Haryana,0.152923977,0.353928571,0.397034658,27.64083298,397
90,Panaji,Goa,0.662105263,0.714,0.530914199,63.57216281,90
211,Panchkula,Haryana,0.41502924,0.609625,0.482163868,48.38185684,211
335,Panipat,Haryana,0.248538012,0.501017857,0.39782725,35.64447447,335
170,Panvel,Maharashtra,0.451960342,0.687678571,0.523189402,53.22586173,170
229,Parbhani,Maharashtra,0.318245614,0.703471429,0.476549392,46.20432012,229
111,Patan,Gujarat,0.606725146,0.562642857,0.647483092,60.79319576,111
188,Pathankot,Punjab,0.453157895,0.714035714,0.426474207,51.03722434,188
411,Patiala,Punjab,0.128362573,0.402428571,0.33344212,25.84029366,411
262,Patna,Bihar,0.445321637,0.442482143,0.429249907,43.97902445,262
374,Pilibhit,Uttar Pradesh,0.169707602,0.439607143,0.404133872,30.75103683,374
72,Pimpri-Chinchwad,Maharashtra,0.75380117,0.457720779,0.688157477,66.00879644,72
61,Pithampur,Madhya Pradesh,0.693508772,0.540196429,0.762680021,67.5932061,61
184,Porbandar,Gujarat,0.623625731,0.279214286,0.552103502,51.60662011,184
221,Port Blair,Andaman and Nicobar Islands,0.409520236,0.509392857,0.530303336,47.07233213,221
133,Proddatur,Andhra Pradesh,0.620643275,0.647464286,0.477234802,58.43259859,133
189,Puducherry,Puducherry,0.414152047,0.614767857,0.567389004,51.02770866,189
113,Pudukkottai,Tamil Nadu,0.74705653,0.582428571,0.417596584,60.70615565,113
13,Pune,Maharashtra,0.967102659,0.819846429,0.633117099,83.00929335,13
194,Puri Town,Odisha,0.455204678,0.584835714,0.508320003,50.35470345,194
342,Purnia,Bihar,0.137777778,0.649375,0.428148484,35.27882953,342
